Ingredient_ID,Common_Ingredient_Name,Ingredient_Alternate_Name,Ingredient_Definition,Ingredient_Definition_Source,Ingredient_Def_Date,Ingredient_Chem_Ref
237,Steroid Fraction Stigmasterol,na,na,na,na,na
238,Sunflower Oil,Sunflower Seed Oil,na,na,na,na
239,Sunflower Seed Wax,na,na,na,na,na
240,Sweet Almond Oil,na,na,na,na,na
241,Sweet Orange Peel Oil,na,na,na,na,na
242,Synthetic Beeswax,na,na,na,na,na
243,Talc,na,na,na,na,na
244,Tapioca Starch,na,na,na,na,na
245,Tea Tree Oil,Melaleuca Alternifolia (Tea Tree) Extract or Leaf Oil,Used for its antiseptic; analgesic and anti-bacterial properties; also aids in healing and soothing the skin.,https://www.dermalinstitute.com/us/library/glossary.html?l=M,3/6/2016,na
246,Tolnaftate,na,na,na,na,na
247,Tribehenin,na,na,na,na,na
248,Triclosan,na,na,na,na,na
249,Tricontanyl PVP,na,na,na,na,na
250,Triethanolamine,TEA,Triethanolamine is a strongly alkaline substance used as surfactant and pH adjusting chemical. Function(s): Fragrance Ingredient; pH Adjuster; Surfactant - Emulsifying Agent; BUFFERING; ,http://www.ewg.org/skindeep/ingredient.php?ingred06=706639,3/5/2016,na
251,Triglyceride,na,na,na,na,na
252,Trimethylsiloxysilicate,na,na,na,na,na
253,Trisiloxane,OCTAMETHYL- TRISILOXANE; OCTAMETHYLTRISILOXANE; OCTAMETHYLTRISILOXANE; OCTAMETHYLTRISILOXANE; TRISILOXANE; OCTAMETHYL; TRISILOXANE; OCTAMETHYL-,About TRISILOXANE: Trisiloxane is a linear siloxane. Function(s): Antifoaming Agent; Skin-Conditioning Agent - Miscellaneous; SKIN CONDITIONING,http://www.ewg.org/skindeep/ingredient/706714/TRISILOXANE/,3/5/2016,na
254,Vanillin,na,na,https://pubchem.ncbi.nlm.nih.gov/compound/vanillin#section=Top,na,na
255,Vitamin A,na,na,na,na,na
256,Vitamin B5,na,na,na,na,na
257,Vitamin B6,na,na,na,na,na
258,Vitamin C,Tetrahexyldecyl Ascorbate,na,na,na,na
259,Vitamin D3,na,na,na,na,na
260,Vitamin E,Tocopheryl; Tocopherols; Tocopheryl Acetate Vitamin E Acetate; DL Alpha Tocopherol,Tocopheryl acetate; also known as vitamin E acetate; is a common vitamin supplement with the molecular formula C31H52O3 (for 'α' form). It is the ester of acetic acid and tocopherol (vitamin E). It is often used indermatological products such as skin creams. Tocopheryl acetate is not oxidized and can penetrate through the skin to the living cells; where about 5% is converted to free tocopherol and provides beneficial antioxidant effects.,https://en.wikipedia.org/wiki/Tocopheryl_acetate,2/21/2016,na
261,Vitamin K1,na,na,na,na,na
262,Water,Aqua; Deionized Water,na,na,na,na
263,Wheat Germ Oil,na,na,na,na,na
264,White Oak Bark Extrack,na,na,na,na,na
265,Willow Extract,Epilobium Angustifolium; Willow Herb; Willow Herb Flower/Leaf/Stem Extract,Epilobium angustifolium is a PERENNIAL growing to 2 m (6ft) by 1 m (3ft 3in) at a fast rate.,http://www.pfaf.org/user/plant.aspx?LatinName=Epilobium+angustifolium,2/21/2016,na
266,Witch Hazel,na,na,na,na,na
267,Xanthan Gum,na,na,na,na,na
268,Yarrow,Achillea Millefolium,Achillea millefolium; commonly known as yarrow /ˈjæroʊ/ or common yarrow; is a flowering plant in the family Asteraceae. It is native to temperate regions of the Northern Hemisphere in Asia; Europe; and North America.[1] It has been introduced as a feed for live stock in places like New Zealand[2] and Australia. However; it is a weed in those places[2] and sometimes also in its native regions.[3],https://en.wikipedia.org/wiki/Achillea_millefolium,3/5/2016,na
269,Zinc Acetate,na,na,na,na,na
270,Zinc Oxide,Zinc Oxide (CI 77947),na,na,na,na
271,Zinc Stearate,na,na,na,na,na
