Ingredient_ID,Common_Ingredient_Name,Ingredient_Alternate_Name,Ingredient_Definition,Ingredient_Definition_Source,Ingredient_Def_Date,Ingredient_Chem_Ref
128,Hydroxyphenyl Propamidobenzoic Acid,Synthetic avenanthramide (Oat active),Synthetic avenanthramide (Oat active) used to boost the efficacy of natural Oat.,https://www.dermalinstitute.com/us/library/glossary.html?l=H,3/6/2016,na
129,Imidazolidinyl Urea,na,na,na,na,na
130,Iodopropynyl Butylcarbamate,na,na,na,na,na
131,Iodopropynyl Butylcarbamate,na,na,na,na,na
132,Isobutylparaben,na,na,na,na,na
133,Isododecane,na,na,na,na,na
134,Isononyl Isononanoate,na,na,na,na,na
135,Isoparaffin,C13-C14 Isoparaffin,na,Wax,na,na
136,Isopropyl Myristate,na,na,na,na,na
137,Isopropyl Palmitate,na,na,na,na,na
138,Jojoba Oil,Jojoba Seed Oil,na,na,na,na
139,Jojoba Wax,na,na,na,na,na
140,Lactate,na,na,na,na,na
141,Lanolin,na,na,na,na,na
142,Lanolin Alcohol,na,na,na,na,na
143,Lanolin Oil,na,na,na,na,na
144,Laureth-7,na,na,na,na,na
145,Lavender Oil,na,na,na,na,na
146,Lecithin,na,na,na,na,na
147,Lemongrass,na,na,na,na,na
148,Limonene,na,na,na,na,na
149,Linalool,na,Linalool is a naturally occurring fragrance substance produced by a wide variety of plants such as mint; cinnamon; citrus fruits; and birch trees. Linalool can also be produced synthetically.,http://www.cosmeticsinfo.org/ingredient/linalool,3/6/2016,na
150,Linoleic Acid,na,na,na,na,na
151,Macadamia Seed Oil,na,na,na,na,na
152,Magnesium Sulfate,na,na,na,na,na
153,Mannan,na,na,na,na,na
154,Masterwort Extract,na,na,na,na,na
155,Melia Azadirachta Seed Oil,na,na,na,na,na
156,Menthol,na,na,na,na,na
157,Menthol Bht Triclosan,na,na,na,na,na
158,Menthyl,na,na,na,na,na
159,Menthyl Lactate,na,Menthyl Lactate is a solid cooling agent and fragrance component for cosmetics. It is a derivative of Menthol; but is milder and more compatible with the skin.,http://www.makingcosmetics.com/Menthyl-Lactate_p_676.html,3/5/2016,na
160,Methicone,na,na,na,na,na
161,Methyl Salicylate,checkerberry oil; gaultheria oil; sweet birch oil; wintergreen oil,The methyl ester of salicylic acid; produced synthetically or distilled from Gaultheria procumbens (family Ericaceae) or from Betula lenta (family Betulaceae); used externally and internally for the treatment of various forms of rheumatism.,http://www.drugs.com/dict/methyl-salicylate.html,2/21/2016,http://chem.sis.nlm.nih.gov/chemidplus/rn/119-36-8
162,Methylisothiazolinone,na,na,na,na,na
163,Methylparaben,Methyl Paraben,Methylparaben is an anti-fungal agent often used in a variety of cosmetics and personal-care products. It is also used as a food preservative and has the E number E218.,https://en.wikipedia.org/wiki/Methylparaben,3/6/2016,na
164,Mineral Oil,Paraffinum Liquidum; White Mineral Oil (Paraffinum Liquidum),na,na,na,na
165,Mixed Tocopherols,na,na,na,na,na
166,Oat Extract,Avena Sativa (Oat) Kernel Extract,na,na,na,na
167,Octyldocecanol,na,na,na,na,na
168,Olive Fruit Unsaponifiables,Olive Fruit Unsaponifiables,Europaea (Olive) Fruit Unsaponifiables is a fraction of olive fruit remaining after fractional distillation.,http://www.ewg.org/skindeep/ingredient/721077/OLEA_EUROPAEA_%28OLIVE%29_FRUIT_UNSAPONIFIABLES/,2/21/2016,na
169,Olive Oil,Olea Europaea (Olive) Fruit Oil,na,na,na,na
170,Ozokerite Wax,Ozokerite,na,http://www.cosmeticsinfo.org/ingredient/ozokerite-and-other-fossil-and-synthetic-waxes,na,na
171,Panthenol,Provitiman B5,Panthenol (pantothenol) is the alcohol analog of pantothenic acid (vitamin B5); and is thus a provitamin of B5. In organisms it is quickly oxidized to pantothenate [pantothenic acid]. In cosmetics and personal-care products; panthenol is a humectant; emollient; and moisturizer. In ointments; panthenol is an effective skin penetrator.[2] It is sometimes mixed with allantoin; in concentrations of up to 2-5%; and is used for treatment of sunburns; mild burns and minor skin disorders.,https://en.wikipedia.org/wiki/Panthenol,3/5/2016,na
172,Paraffin,na,na,http://www.cosmeticsinfo.org/ingredient/ozokerite-and-other-fossil-and-synthetic-waxes,na,na
173,PEG 2 Stearate,na,na,na,na,na
174,PEG-100 Stearate,na,na,na,na,na
175,PEG-20 Stearate,na,na,na,na,na
176,PEG-30 Glyceryl Stearate,na,na,na,na,na
177,PEG-40 Stearate,na,na,na,na,na
178,Pentylene Glycol,na,na,na,na,na
179,Peppermint Oil,Mentha Piperita (Pepperment) Leaf Oil,na,na,na,na
