Product_ID,Ingredient_ID,Common_Ingredient_Name,Ingredient_Order,Ingredient_Name_Listed,Ingredient_Notes
34,148,Masterwort Extract,15,Peucedanum (Masterwort) Ostruthium Extract,na
34,144,Linoleic Acid,16,Linoleic Acid,na
34,217,Soy Sterols,17,Soy Sterols,na
34,216,Soy Phospholipids,18,Soy Phospholipids,na
34,94,Ergothioneine,19,Ergothioneine,na
34,85,Dipotassium Glycyrrhizate,20,Dipotassium Glycyrrhizate,na
34,29,Bisabolol,21,Bisabolol,na
34,7,Allantoin,22,Allantoin,na
34,250,Vitamin E ,23,Tocopherol (Vitamine E),na
34,150,Menthol,24,Menthol,na
34,235,Tea Tree Oil,25,Melaleuca Alternifolia (Tea Tree) Leaf Oil,na
34,257,Xanthan Gum,26,Xanthan Gum,Natural Thickener
34,42,Caprylic/Capric Triglyceride,27,Caprylic/Capric Triglyceride,na
34,245,Vitamin A,28,Retinyl (Vitamin A) Palmitate,na
34,246,Vitamin B5,29,Panthenyl (Provitamin B5) Triacetate,na
34,248,Vitamin C,30,Tetrahexyldecyl (Vitamin C) Ascobate,na
34,177,Phenoxyethanol,31,Phenoxyethanol,na
34,43,Caprylyl Glycol,32,Caprylyl Glycol,na
34,98,Ethylhexylglycerin,33,Ethylhexylglycerin,na
34,52,Cetearyl Methicone,34,Cetearyl Methicone,na
34,81,Dimethicone,35,Dimethicone,na
35,252,Water,1,Water,na
35,50,Cetearyl Alcohol,2,Cetearyl Alcohol,na
35,107,Glycerin,3,Glycerin,na
35,57,Cetyl Palmitate,4,Cetyl Palmitate,na
35,93,Epilobium Angustifolium Flower Extract,5,Epilobium Angustifolium Flower Extract,na
35,81,Dimethicone,6,Dimethicone,na
35,51,Cetearyl Glucoside,7,Cetearyl Glucoside,na
35,164,Panthenol,8,Panthenol,Provitiman B5
35,250,Vitamin E ,9,Tocopheryl Acetate,na
35,248,Vitamin C,10,Tetrahexyldecyl Ascorbate,na
35,175,Phellodendron Amurense Bark Extract,11,Phellodendrom Amurense Bark Extract,na
35,200,Sandalwood Extract,12,Sandalwood Extract,na
35,235,Tea Tree Oil,13,Tea Tree Oil,na
35,223,Stearic Acid,14,Stearic Acid,na
35,257,Xanthan Gum,15,Xanthan Gum,Natural Thickener
35,91,EDTA,16,Disodium EDTA,na
35,188,Potassium Sorbate,17,Potassium Sorbate,na
35,177,Phenoxyethanol,18,Phenoxyethanol,na
35,98,Ethylhexylglycerin,19,Ethylhexylglycerin,na
35,103,Fragrance,20,Fragrance,na
36,81,Dimethicone,1,Dimethicone,na
36,8,Aloe Vera,2,Aloe Vera Extract,na
36,250,Vitamin E ,3,Tocopheryl (Vitamin E),na
37,74,Cyclopentasiloxane,1,Cyclopentasiloxane,na
37,82,Dimethicone/Vinyl Dimethicone Crosspolymer,2,Dimethicone/Vinyl Dimethicone Crosspolymer,na
37,81,Dimethicone,3,Dimethicone 1.2%,Guessing at ingredient order (listed seperately as active ingredient)
37,204,Silica,4,Silica,na
37,250,Vitamin E ,5,Tocopheryl Acetate,na
37,243,Trisiloxane,6,Trisiloxane,na
38,252,Water,1,Water,na
38,120,Hydrogenated Polydecene,2,Hydrogenated Polydecene,na
38,160,Octyldodecanol,3,Octyldodecanol,na
38,232,Synthetic Beeswax,4,Synthetic Beeswax,na
